,eng,deu
2804,You're back.,Sie sind zurück.
2805,Tom is cool.,Tom ist cool.
2806,Keep looking.,Suchen Sie weiter!
2807,Tom smokes.,Tom raucht.
2808,We'll get it.,Wir werden es bekommen.
2809,Did Tom run?,Ist Tom gerannt?
2810,Come on!,Macht schon!
2811,Keep them.,Behalt sie!
2812,I'll walk.,Ich werde zu Fuß gehen.
2813,Tom found it.,Tom hat es gefunden.
2814,I'm hungry.,Ich bin hungrig!
2815,Bring help.,Hol Hilfe.
2816,Leave us.,Lass uns allein.
2817,Please do it.,Bitte tu es.
2818,You decide.,Sie entscheiden.
2819,Tom's upset.,Tom ist bestürzt.
2820,We're sick.,Wir sind krank.
2821,I disagree.,Ich bin anderer Ansicht.
2822,It's easy.,Das ist einfach.
2823,I'm fine.,Mir geht es gut.
2824,We're crying.,Wir weinen.
2825,"I cried, too.",Ich habe auch geweint.
2826,Tom is scary.,Tom ist gruselig.
2827,Nobody asked.,Niemand fragte.
2828,Don't scream.,Schreit nicht!
2829,It's bizarre.,Es ist skurril.
2830,He is chubby.,Er ist pummelig.
2831,How is it?,Wie ist die Lage?
2832,Keep walking.,Geht weiter.
2833,He's faking.,Er tut so als ob.
2834,Tom is back.,Tom ist wieder da.
2835,Tom hit me.,Tom hat mich gehauen!
2836,Do you drink?,Trinken Sie?
2837,We promised.,Wir haben es versprochen.
2838,Tom moaned.,Tom ächzte.
2839,Who drove?,Wer ist gefahren?
2840,He laughed.,Er hat gelacht.
2841,Shame on you!,Schäme dich!
2842,Let's go!,Lass uns losgehen.
2843,Pick it up.,Hebe es auf.
2844,Kiss Tom.,Küsse Tom!
2845,Tom enlisted.,Tom ließ sich anwerben.
2846,Tom talked.,Tom hat gesprochen.
2847,I eat rice.,Ich esse Reis.
2848,I do hope so.,Das hoffe ich doch sehr.
2849,I need them.,Ich benötige sie.
2850,Who's there?,Wer da?
2851,I'm mature.,Ich bin reif.
2852,Can I come?,Darf ich kommen?
2853,Let's relax.,Entspannen wir uns!
2854,Tom refused.,Tom hat abgelehnt.
2855,Answer Tom.,Antworte Tom!
2856,I'm not OK.,Ich bin nicht okay.
2857,You're nuts!,Ihr seid verrückt!
2858,Am I correct?,Habe ich recht?
2859,I'm so cold.,Mir ist so kalt.
2860,Let's see.,Lass sehen.
2861,She needs it.,Sie braucht ihn.
2862,I coughed.,Ich hustete.
2863,Who drove?,Wer fuhr?
2864,You're lost.,Du hast dich verirrt.
2865,Tom made it.,Tom hat es geschafft.
2866,Get started.,Fangen Sie an.
2867,That's it.,Das war's.
2868,It saved me.,Das hat mich gerettet.
2869,Write Tom.,Schreiben Sie Tom!
2870,Who saw you?,Wer hat euch gesehen?
2871,He went away.,Er ging weg.
2872,Tom is fair.,Tom ist fair.
2873,This is food.,Dies ist Nahrung.
2874,We need you.,Wir brauchen euch.
2875,Go away!,Hau ab!
2876,Have another.,Nehmen Sie noch eins.
2877,Stand still.,Stehen sie still!
2878,I am lost.,Ich habe mich verirrt.
2879,Tom is old.,Tom ist alt.
2880,I'm finicky.,Ich bin pingelig.
2881,Step forward.,Treten Sie vor.
2882,Keep it warm.,Halte es warm.
2883,Help Tom.,Helfen Sie Tom!
2884,We know that.,Wir wissen das.
2885,This is food.,Es ist Nahrung.
2886,I am ready.,Ich bin soweit.
2887,Tom grimaced.,Tom verzog das Gesicht.
2888,What fun!,Was für ein Spaß!
2889,I'm bluffing.,Ich bluffe.
2890,Tom groaned.,Tom ächzte.
2891,I have wine.,Ich habe Wein.
2892,I have a pen.,Ich habe einen Kuli.
2893,Come quickly.,Kommt schnell!
2894,I sympathize.,Ich fühle mit dir mit.
2895,It's bedtime.,Es ist Zeit zu schlafen.
2896,Tom is drunk.,Tom ist betrunken.
2897,Flip a coin.,Wirf eine Münze.
2898,Is it time?,Ist es Zeit?
2899,Is it broken?,Ist es kaputt?
2900,Unlock it.,Entsperr es.
2901,Step inside.,Geh rein!
2902,Tom is thin.,Tom ist dünn.
2903,I'm healthy.,Ich bin gesund.
2904,Did you help?,Hast du geholfen?
2905,Go for it.,Nur zu!
2906,Take a seat.,Setz dich!
2907,Are you done?,Seid ihr fertig?
2908,I can win.,Ich kann gewinnen.
2909,I get by.,Ich komme klar.
2910,We survived.,Wir haben überlebt.
2911,I'm buying.,Ich bezahle.
2912,I'm a spy.,Ich bin eine Spionin.
2913,You know me.,Du kennst mich.
2914,I'm grateful.,Ich bin dankbar.
2915,Am I late?,Bin ich zu spät?
2916,Beat it.,Verkrümele dich!
2917,I got it.,Ich habe es bekommen.
2918,Tom's sorry.,Es tut Tom leid.
2919,Let Tom go.,Lassen Sie Tom gehen!
2920,Who's coming?,Wer kommt?
2921,Keep walking.,Gehen Sie weiter.
2922,Tom cheated.,Tom hat geschummelt.
2923,Tom panicked.,Tom brach in Panik aus.
2924,Come closer.,Komm näher.
2925,I hit Tom.,Ich schlug Tom.
2926,I'm talking.,Ich spreche gerade.
2927,I'm finished.,Ich bin fertig.
2928,Are you well?,Geht’s dir gut?
2929,It scared me.,Das erschreckte mich.
2930,I was naive.,Ich war leichtgläubig.
2931,Stop yelling!,Hören Sie auf zu schreien!
2932,They fell.,Sie fielen.
2933,I'll get Tom.,Ich werde Tom holen.
2934,Do your duty.,Tu deine Pflicht.
2935,Put it down.,Legt es hin!
2936,I'm not here.,Ich bin nicht hier.
2937,Is it good?,Ist es gut?
2938,I want time.,Ich brauche Zeit.
2939,I feel dizzy.,Mir ist schwindlig.
2940,Tom is wrong.,Tom hat unrecht.
2941,Quiet down.,Sei leise.
2942,I'm picky.,Ich bin wählerisch.
2943,Give it back.,Gib es zurück.
2944,It's easy.,Es ist einfach.
2945,Tom is dying.,Tom stirbt.
2946,Fix this.,Beheben Sie das.
2947,That's okay.,Das ist okay.
2948,Turn it off.,Mach sie aus.
2949,How clever!,Wie geschickt!
2950,Start now.,Fang jetzt an.
2951,Take action.,Handelt!
2952,Let Tom in.,Lasst Tom rein.
2953,I'm a nurse.,Ich bin Krankenpfleger.
2954,I don't mind.,Ich habe nichts dagegen.
2955,You can try.,Ihr könnt es versuchen.
2956,Tom is vegan.,Tom ist Veganer.
2957,Can we help?,Können wir helfen?
2958,They saw Tom.,Sie sahen Tom.
2959,We're heroes.,Wir sind Helden.
2960,Let me pay.,Lass mich zahlen.
2961,I'll manage.,Ich werde zurechtkommen.
2962,I bought it.,Ich habe sie gekauft.
2963,Tom is rude.,Tom ist unhöflich.
2964,Tom will cry.,Tom wird weinen.
2965,Tom's funny.,Tom ist witzig.
2966,Finish this.,Schließen Sie das ab.
2967,We can meet.,Wir können uns treffen.
2968,Tom was shot.,Tom wurde erschossen.
2969,I'm very hot.,Mir ist sehr heiß.
2970,Are you hurt?,Bist du verletzt?
2971,Release Tom.,Lasst Tom frei!
2972,Don't be sad.,Sei nicht traurig.
2973,Once again.,Nochmal.
2974,"Men cry, too.",Auch Männer weinen.
2975,We want Tom.,Wir wollen Tom.
2976,I felt cold.,Mir war kalt.
2977,Watch me.,Schau mir zu.
2978,I see that.,Ich sehe das.
2979,Is Tom dying?,Stirbt Tom?
2980,Are you busy?,Haben Sie zu tun?
2981,Tom is angry.,Tom ist verärgert.
2982,I almost won.,Ich hätte fast gewonnen.
2983,Tom paid.,Tom hat gezahlt.
2984,There it is.,Da ist sie.
2985,Let's go!,"Auf, auf!"
2986,Tom drove.,Tom fuhr.
2987,Mama cried.,Mama weinte.
2988,Sit there.,Setz dich dorthin.
2989,We made it.,Wir haben es geschafft.
2990,What's on?,Was ist los?
2991,That's okay.,Das ist in Ordnung.
2992,Beat it.,Zisch ab!
2993,I gave up.,Ich habe aufgegeben.
2994,We apologize.,Wir entschuldigen uns.
2995,I am Chinese.,Ich bin Chinese.
2996,I'm blind.,Ich bin blind.
2997,Beat it.,Schwirr ab!
2998,We overslept.,Wir haben verpennt.
2999,Tom's amazed.,Tom ist erstaunt.
3000,Come back.,Komm wieder!
3001,They're back.,Sie sind wieder da.
3002,Stop humming.,Hör auf zu summen.
3003,It's my book.,Das ist mein Buch.
3004,See below.,Siehe unten.
3005,Is it new?,Ist es neu?
3006,Run.,Lauf!
3007,Tom's angry.,Tom ist wütend.
3008,We found it.,Wir haben ihn gefunden.
3009,Keep moving.,Beweg dich weiter!
3010,I'm a vegan.,Ich bin Veganer.
3011,I talk a lot.,Ich rede viel.
3012,Start here.,Fang hier an.
3013,We've won!,Wir haben gewonnen!
3014,You keep it.,Den können Sie ruhig behalten.
3015,Try hard.,Versuch es richtig!
3016,I have proof.,Ich habe Beweise.
3017,I drink beer.,Ich trinke Bier.
3018,It's not Tom.,Es ist nicht Tom.
3019,I'm ready.,Ich bin soweit.
3020,Who talked?,Wer sprach?
3021,She's happy.,Sie ist glücklich.
3022,Write Tom.,Schreibe Tom!
3023,Of course!,Auf jeden Fall!
3024,May I begin?,Darf ich anfangen?
3025,This is hers.,Das ist ihrer.
3026,I smelled it.,Ich habe es gerochen.
3027,I love math.,Ich mag Mathematik.
3028,It was empty.,Es war leer.
3029,It's bedtime.,Es ist Zeit fürs Bett.
3030,Tom is late.,Tom ist zu spät.
3031,Sit down!,Setzen Sie sich!
3032,I will help.,Ich helfe.
3033,Tom sat up.,Tom setzte sich auf.
3034,Tell Tom.,Sagen Sie es Tom.
3035,Take a card.,Nehmen Sie eine Karte!
3036,Show me that.,Zeig mir das mal!
3037,We're human.,Wir sind menschlich.
3038,I said no.,Ich sagte nein.
3039,I've lost it.,Ich habe es verloren.
3040,I have won.,Ich bin Sieger.
3041,I'm shocked.,Ich bin erschrocken.
3042,Go away!,Mach ’ne Fliege!
3043,Tom slipped.,Tom ist ausgerutscht.
3044,Quiet down.,Beruhige dich!
3045,Tom drowned.,Tom ertrank.
3046,Who's buying?,Wer kauft?
3047,I want a hat.,Ich möchte einen Hut.
3048,Please stop!,Halten Sie bitte an!
3049,Turn it on.,Mach es an!
3050,Too late.,Zu spät.
3051,Tom is mad.,Tom ist wütend.
3052,Breathe out.,Atme aus.
3053,Call me.,Ruf mich an.
3054,Can I try it?,Darf ich es versuchen?
3055,Anybody here?,Ist hier jemand?
3056,You know her.,Du kennst es.
3057,Tom kneeled.,Tom kniete sich hin.
3058,Put it on.,Zieh sie an.
3059,I found you.,Ich habe Sie gefunden.
3060,Help me.,Hilf mir.
3061,We talked.,Wir haben uns unterhalten.
3062,He's lazy.,Er ist träge.
3063,Use them all.,Nutze sie alle.
3064,Who swam?,Wer ist geschwommen?
3065,OK. Go ahead.,"Gut, macht weiter!"
3066,Who won?,Wer hat gewonnen?
3067,Come back in.,Kommen Sie wieder herein.
3068,We found Tom.,Wir haben Tom gefunden.
3069,That's OK.,Das ist in Ordnung.
3070,I've failed.,Ich bin gescheitert.
3071,You may look.,Du darfst gucken.
3072,They lost.,Sie verloren.
3073,I'm not shy.,Ich bin nicht schüchtern.
3074,He resigned.,Er hat gekündigt.
3075,Come quick!,Kommen Sie schnell!
3076,Hello!,Hallo!
3077,We can wait.,Wir können warten.
3078,Tom isn't in.,Tom ist nicht da.
3079,I'll quit.,Ich werde aufhören.
3080,Tom's right.,Tom hat Recht.
3081,Wait and see.,Abwarten und Tee trinken.
3082,Look away.,Schau weg.
3083,I'm fat.,Ich bin fett.
3084,Are you here?,Sind Sie hier?
3085,I'm a klutz.,Ich bin ein Tollpatsch.
3086,Tom spit.,Thomas spuckte.
3087,Come outside.,Komm nach draußen!
3088,Replace it.,Tausche es aus.
3089,Take mine.,Nimm meinen.
3090,Come with me.,Komm mit mir.
3091,Tom has died.,Tom ist gestorben.
3092,Let's try!,Lasst es uns versuchen!
3093,You know her.,Sie kennen sie.
3094,Put it back.,Stell es zurück.
3095,What a shame!,Wie schade!
3096,Tom will win.,Tom wird gewinnen.
3097,We found one.,Wir haben eine gefunden.
3098,Can I help?,Kann ich helfen?
3099,I'm hiding.,Ich verstecke mich.
3100,I'm managing.,Ich komme klar.
3101,Go see Tom.,Geh zu Tom.
3102,We're trying.,Wir geben uns Mühe.
3103,Go away.,Verpiss dich!
3104,Is Tom blind?,Ist Tom blind?
3105,Let's try!,Lass es uns probieren!
3106,I like pizza.,Ich mag Pizza.
3107,Who's going?,Wer geht?
3108,They're bad.,Sie sind schlecht.
3109,I hugged Tom.,Ich habe Tom umarmt.
3110,They cheered.,Sie jubelten.
3111,Tom is safe.,Tom ist in Sicherheit.
3112,He is young.,Er ist jung.
3113,Ask Tom.,Fragt Tom!
3114,I'm unusual.,Ich bin ungewöhnlich.
3115,We're upset.,Wir sind bestürzt.
3116,Lie low.,Leg dich nieder!
3117,I'll read it.,Ich werde es lesen.
3118,Let Tom come.,Lasst Tom kommen.
3119,I miss Tom.,Ich vermisse Tom.
3120,Let's wait.,Warten wir.
3121,Tom relented.,Tom gab nach.
3122,Tom was poor.,Tom war arm.
3123,I'm no rebel.,Ich bin keine Aufständische.
3124,Replace it.,Ersetzt es.
3125,What an ego!,Was für ein Ego!
3126,This is love.,Das ist Liebe.
3127,Who cares?,Wen kümmert das schon?
3128,I am online.,Ich bin online.
3129,Please eat.,Essen Sie bitte!
3130,We're dizzy.,Uns ist schwindlig.
3131,Be vigilant.,Seid wachsam.
3132,Is that salt?,Ist das Salz?
3133,War is hell.,Krieg ist die Hölle.
3134,Tom got away.,Tom ist davongekommen.
3135,I don't care.,Das ist mir egal.
3136,Be sensible.,Sei vernünftig!
3137,He's in pain.,Er hat Schmerzen.
3138,Who listened?,Wer hat zugehört?
3139,Call home!,Rufen Sie zuhause an!
3140,Open it.,Öffnet es!
3141,Are you sure?,Bist du sicher?
3142,Ice is solid.,Eis ist fest.
3143,Tom fought.,Tom kämpfte.
3144,Tom'll speak.,Tom wird sprechen.
3145,You look hot.,Du siehst heiß aus.
3146,I need them.,Ich brauche sie.
3147,We're weak.,Wir sind schwach.
3148,Tom knew it.,Tom wusste es.
3149,It's hot.,Sie ist heiß.
3150,Tom saw it.,Tom hat es gesehen.
3151,Take a nap.,Mach ein Nickerchen.
3152,Tom gloated.,Tom freute sich hämisch.
3153,Who is that?,Wer ist das?
3154,Go away!,Mach dich fort!
3155,Who's here?,Wer ist hier?
3156,I built it.,Ich habe es gebaut.
3157,Take a walk.,Geh spazieren!
3158,Excuse me.,Entschuldigung!
3159,Tom did it.,Tom hat das getan.
3160,I'm in love.,Ich bin verliebt.
3161,Can you come?,Kannst du kommen?
3162,Play it cool.,Nimm es gelassen.
3163,We're shy.,Wir sind schüchtern.
3164,You need it.,Ihr braucht es.
3165,Write me.,Schreib mir!
3166,He avoids me.,Er meidet mich.
3167,We made it.,Wir haben es geschafft!
3168,Hit Tom.,Schlagen Sie Tom!
3169,Tom is cold.,Tom friert.
3170,I heard you.,Ich habe dich gehört.
3171,Take control.,Übernimm die Kontrolle.
3172,I made it.,Ich habe es gemacht.
3173,This is hers.,Das ist ihre.
3174,Let's see it.,Zeig’s mal her.
3175,You hurt me.,Du tust mir weh.
3176,Hold it.,Bleiben Sie stehen!
3177,Don't bug me.,Geh mir nicht auf die Nerven.
3178,Take a bus.,Fahre mit dem Bus.
3179,Sit with me.,Setz dich zu mir!
3180,She smiled.,Sie lächelte.
3181,Do it anyway.,Mach’s trotzdem!
3182,I'm ready.,Ich bin so weit.
3183,Tom's afraid.,Tom hat Angst.
3184,Is this real?,Ist das echt?
3185,Go find Tom.,Gehe Tom suchen!
3186,He's good.,Er ist gut.
3187,Who's absent?,Wer fehlt?
3188,Tom saw her.,Tom sah sie.
3189,I can manage.,Ich komme schon klar.
3190,Let me pay.,Lass mich zahlen!
3191,Did Tom know?,Hat Tom es gewusst?
3192,Have courage.,Nur Mut.
3193,Forget him.,Vergessen Sie ihn.
3194,Tom may come.,Tom kann kommen.
3195,Tom snores.,Tom schnarcht.
3196,I have a dog.,Ich habe einen Hund.
3197,You're thin.,Du bist dünn.
3198,What's on TV?,Was läuft im Fernsehen?
3199,I feel alive.,Ich fühle mich lebendig.
3200,Come with me.,Komm mit mir!
3201,You may go.,Du kannst gehen.
3202,Fantastic!,Ganz toll!
3203,Unbelievable!,Nicht zu glauben!
3204,I feel great.,Mir geht’s hervorragend.
3205,That'll pass.,Das geht vorbei.
3206,Tom's crying.,Tom heult.
3207,Hold this.,Halt das mal.
3208,Find a job.,Such dir einen Job.
3209,Let's begin.,Lass uns anfangen!
3210,I'm so tired!,Ich bin so müde!
3211,He gave in.,Er gab auf.
3212,How are you?,Wie geht’s dir?
3213,You're nuts!,Mattscheibe!
3214,Be generous.,Sei großzügig!
3215,I'm humble.,Ich bin bescheiden.
3216,Love lasts.,Die Liebe bleibt.
3217,Who sent you?,Wer hat euch geschickt?
3218,Who's joking?,Wer macht Witze?
3219,He was lucky.,Er hatte Glück.
3220,Look closer.,Schauen Sie genauer hin.
3221,Tom's great.,Tom ist toll.
3222,It's close.,Es ist nah.
3223,Please come.,Komm bitte.
3224,It's a book.,Das ist ein Buch.
3225,We'll share.,Wir werden teilen.
3226,You're weak.,Du bist schwach.
3227,Step aside.,Gehen Sie zur Seite!
3228,That hurt.,Das hat wehgetan.
3229,Tom is witty.,Tom hat Witz.
3230,Will he die?,Wird er sterben?
3231,Once again.,Noch einmal.
3232,That's sad.,Das ist traurig.
3233,Keep writing.,Schreiben Sie weiter.
3234,Tom spit.,Thomas hat gespuckt.
3235,Stick to it!,Bleib dabei!
3236,I'm tough.,Ich bin zäh.
3237,I want one!,Ich will eine!
3238,Hug Tom.,Umarmen Sie Tom!
3239,This is fine.,Das ist in Ordnung.
3240,Is Tom OK?,Ist Tom okay?
3241,This is gold.,Das ist aus Gold.
3242,Leave us.,Geh weg!
3243,Stay thin.,Bleiben Sie dünn.
3244,I robbed Tom.,Ich beraubte Tom.
3245,Look at him.,Schaue ihn an.
3246,Is it over?,Ist es vorbei?
3247,She's a dog.,Sie hat einen Hund.
3248,Please come.,Kommen Sie bitte.
3249,I will go.,Ich werde gehen.
3250,He's too old.,Er ist zu alt.
3251,I whispered.,Ich habe geflüstert
3252,Tom is great.,Tom ist großartig.
3253,Wait for us.,Wartet auf uns!
3254,We're at war.,Wir sind im Krieg.
3255,Hold it.,Stehen bleiben!
3256,Vote for me!,Wählt mich!
3257,I disagreed.,Ich war anderer Meinung.
3258,"Goodbye, Tom.","Auf Wiedersehen, Thomas."
3259,They're fine.,Sie sind okay.
3260,Tom broke in.,Tom ist eingebrochen.
3261,He tries.,Er versucht es.
3262,I whistled.,Ich pfiff.
3263,Make a list.,Mach eine Liste.
3264,Are you mad?,Hast du einen Vogel?
3265,Ignore that.,Ignorier das.
3266,I fled.,Ich bin geflüchtet.
3267,I will learn.,Ich werde lernen.
3268,Boys do cry.,Jungen weinen sehr wohl.
3269,It's tea.,Das ist Tee.
3270,Get lost!,Scher dich fort!
3271,We trust him.,Wir vertrauen ihm.
3272,I'm no saint.,Ich bin kein Heiliger.
3273,We're losing.,Wir verlieren.
3274,Tom began.,Thomas hat angefangen.
3275,It burned.,Es verbrannte.
3276,Fix this.,Repariere das.
3277,Stay away.,Bleiben Sie weg.
3278,Don't yell.,Schreit nicht!
3279,I lost a bet.,Ich verlor eine Wette.
3280,Tom got lost.,Tom hat sich verirrt.
3281,Are you busy?,Seid ihr beschäftigt?
3282,What's a cat?,Was ist eine Katze?
3283,Seriously?,Wirklich?
3284,Who talked?,Wer hat gesprochen?
3285,Please relax.,Enspann dich bitte.
3286,Go away.,Hau ab!
3287,Was she seen?,Wurde sie gesehen?
3288,I'll go in.,Ich werde reingehen.
3289,I see a star.,Ich sehe einen Stern.
3290,It may rain.,Vielleicht wird es regnen.
3291,Did Tom stay?,Ist Tom geblieben?
3292,Stay cool.,Bleibt ruhig.
3293,Tom's weird.,Tom ist komisch.
3294,I'm a singer.,Ich bin Sänger.
3295,It's a fad.,Das ist eine vorübergehende Laune.
3296,We're lazy.,Wir sind faul.
3297,We'll do it.,Wir machen das.
3298,Ask me.,Fragen Sie mich!
3299,I'm poor now.,Ich bin jetzt arm.
3300,I met Tom.,Ich bin Tom begegnet.
3301,I'm unlucky.,Ich habe Pech.
3302,I told Tom.,Ich habe es Tom gesagt.
3303,I am ready.,Ich bin bereit.
3304,It is on me.,Das geht auf mich!
3305,Tell Tom no.,Erteilen Sie Tom eine Absage.
3306,Be merciful.,Seid gnädig!
3307,Keep it.,Behalt sie!
3308,Beer's good.,Bier ist gut.
3309,I love dogs.,Ich liebe Hunde.
3310,Who fell?,Wer fiel?
3311,I was drunk.,Ich war besoffen.
3312,Tom came by.,Tom kam vorbei.
3313,Do it now.,Mach es jetzt!
3314,I wrote that.,Ich habe das geschrieben.
3315,Go to school.,Geh in die Schule.
3316,Where is it?,Wo ist es?
3317,I'm hiding.,Ich verstecke mich gerade.
3318,Don't stop.,Hör nicht auf.
3319,Turn it on.,Schalte es ein.
3320,Tom loves us.,Tom liebt uns.
3321,Tom sent me.,Tom hat mich geschickt.
3322,Please wait.,Bitte warten Sie.
3323,He runs.,Er läuft.
3324,Tom got up.,Tom stand auf.
3325,Please go.,Bitte geht.
3326,Return fire.,Schießt zurück.
3327,Be ruthless.,Seid gnadenlos!
3328,I'm up here.,Ich bin hier oben.
3329,Tom froze.,Tom erstarrte.
3330,I'm thin.,Ich bin dünn.
3331,Tom fainted.,Tom wurde ohnmächtig.
3332,We love this.,Wir lieben das.
3333,It was white.,Es war weiß.
3334,Boil one egg.,Kochen Sie ein Ei!
3335,Tom got sick.,Tom wurde krank.
3336,Am I fired?,Bin ich gefeuert?
3337,I was bored.,Ich habe mich gelangweilt.
3338,I often ski.,Ich fahre oft Ski.
3339,I mean it!,Ich meine es so!
3340,Pull me up.,Ziehen Sie mich hoch!
3341,Come on!,Komm!
3342,Tom hurt me.,Tom hat mir weh getan.
3343,We're dying.,Wir sterben.
3344,Come with me.,Komm mit!
3345,That's trash.,Das ist Müll.
3346,I'm mean.,Ich bin gemein.
3347,Use caution.,Seien Sie vorsichtig!
3348,I hear music.,Ich höre Musik.
3349,I'm stuck.,Ich stecke fest.
